Removed Pin From Net: NetName=NetC1_2 Pin=C1-2
Removed Pin From Net: NetName=+3.3V_D Pin=C2-1
Removed Pin From Net: NetName=SD_SW Pin=C3-1
Removed Pin From Net: NetName=NRST_MC Pin=C4-2
Removed Pin From Net: NetName=+3.3V_D Pin=C6-1
Removed Pin From Net: NetName=D_GND Pin=C9-1
Removed Pin From Net: NetName=NetBQ1_2 Pin=C9-2
Removed Pin From Net: NetName=+3.3V_D Pin=C10-1
Removed Pin From Net: NetName=D_GND Pin=C10-2
Removed Pin From Net: NetName=+3.3V_D Pin=C11-1
Removed Pin From Net: NetName=D_GND Pin=C11-2
Removed Pin From Net: NetName=NetBQ2_2 Pin=C13-1
Removed Pin From Net: NetName=NetBQ1_1 Pin=C14-1
Removed Pin From Net: NetName=NetBQ2_1 Pin=C15-2
Removed Pin From Net: NetName=FP_SW4 Pin=C16-1
Removed Pin From Net: NetName=FP_SW3 Pin=C16-2
Removed Pin From Net: NetName=FP_SW2 Pin=C16-3
Removed Pin From Net: NetName=FP_SW1 Pin=C16-4
Removed Pin From Net: NetName=D_GND Pin=C16-5
Removed Pin From Net: NetName=D_GND Pin=C16-6
Removed Pin From Net: NetName=D_GND Pin=C16-7
Removed Pin From Net: NetName=D_GND Pin=C16-8
Removed Pin From Net: NetName=FP_SW5 Pin=C17-1
Removed Pin From Net: NetName=+5V_CAN1 Pin=C18-1
Removed Pin From Net: NetName=Gnd_CAN1 Pin=C18-2
Removed Pin From Net: NetName=+5V_CAN2 Pin=C19-1
Removed Pin From Net: NetName=Gnd_CAN2 Pin=C19-2
Removed Pin From Net: NetName=D_GND Pin=C20-1
Removed Pin From Net: NetName=+3.3V_D Pin=C20-2
Removed Pin From Net: NetName=D_GND Pin=C21-1
Removed Pin From Net: NetName=+3.3V_D Pin=C21-2
Removed Pin From Net: NetName=D_GND Pin=C22-1
Removed Pin From Net: NetName=+5V_D Pin=C22-2
Removed Pin From Net: NetName=+5V_CAN1 Pin=C24-1
Removed Pin From Net: NetName=Gnd_CAN1 Pin=C24-2
Removed Pin From Net: NetName=+5V_D Pin=C25-2
Removed Pin From Net: NetName=+5V_CAN2 Pin=C27-1
Removed Pin From Net: NetName=Gnd_CAN2 Pin=C27-2
