Removed Pin From Net: NetName=FP_SW2 Pin=R?-2
Removed Pin From Net: NetName=+3.3V_D Pin=R?-7
Removed Pin From Net: NetName=FP_SW1 Pin=VD?-1
Removed Pin From Net: NetName=D_GND Pin=VD?-2
Removed Pin From Net: NetName=FP_SW3 Pin=VD?-5
Removed Member From Class: ClassName=Ethernet Member=BQ?
Removed Member From Class: ClassName=Ethernet Member=C?
Removed Member From Class: ClassName=LCD_Board Member=C?
Removed Member From Class: ClassName=Main1 Member=C?
Removed Member From Class: ClassName=Out_Interface2 Member=C?
Removed Member From Class: ClassName=Main1 Member=DA?
Removed Member From Class: ClassName=Out_Interface2 Member=DA?
Removed Member From Class: ClassName=Ethernet Member=DD?
Removed Member From Class: ClassName=Out_Interface2 Member=G?
Removed Member From Class: ClassName=Ethernet Member=L?
Removed Member From Class: ClassName=LCD_Board Member=L?
Removed Member From Class: ClassName=Out_Interface2 Member=L?
Removed Member From Class: ClassName=Ethernet Member=R?
Removed Member From Class: ClassName=LCD_Board Member=R?
Removed Member From Class: ClassName=Main1 Member=R?
Removed Member From Class: ClassName=Out_Interface2 Member=R?
Removed Member From Class: ClassName=LCD_Board Member=VD?
Removed Member From Class: ClassName=Main1 Member=VD?
Removed Member From Class: ClassName=Out_Interface2 Member=VD?
Removed Member From Class: ClassName=LCD_Board Member=XP?
Removed Member From Class: ClassName=Ethernet Member=XS?
Removed Member From Class: ClassName=LCD_Board Member=XS?
Removed Member From Class: ClassName=Main1 Member=XS?
Removed Member From Class: ClassName=Out_Interface2 Member=XS?
Change Component Designator: OldDesignator=B? NewDesignator=B1
Change Component Designator: OldDesignator=BQ? NewDesignator=BQ1
Change Component Designator: OldDesignator=BQ? NewDesignator=BQ2
Change Component Designator: OldDesignator=BQ? NewDesignator=BQ3
Change Component Designator: OldDesignator=C? NewDesignator=C1
Change Component Designator: OldDesignator=C? NewDesignator=C2
Change Component Designator: OldDesignator=C? NewDesignator=C3
Change Component Designator: OldDesignator=C? NewDesignator=C4
Change Component Designator: OldDesignator=C? NewDesignator=C5
Change Component Designator: OldDesignator=C? NewDesignator=C6
Change Component Designator: OldDesignator=C? NewDesignator=C7
Change Component Designator: OldDesignator=C? NewDesignator=C8
Change Component Designator: OldDesignator=C? NewDesignator=C9
Change Component Designator: OldDesignator=C? NewDesignator=C10
Change Component Designator: OldDesignator=C? NewDesignator=C11
Change Component Designator: OldDesignator=C? NewDesignator=C12
Change Component Designator: OldDesignator=C? NewDesignator=C13
Change Component Designator: OldDesignator=C? NewDesignator=C14
Change Component Designator: OldDesignator=C? NewDesignator=C15
Change Component Designator: OldDesignator=C? NewDesignator=C16
Change Component Designator: OldDesignator=C? NewDesignator=C17
Change Component Designator: OldDesignator=C? NewDesignator=C18
Change Component Designator: OldDesignator=C? NewDesignator=C19
Change Component Designator: OldDesignator=C? NewDesignator=C20
Change Component Designator: OldDesignator=C? NewDesignator=C21
Change Component Designator: OldDesignator=C? NewDesignator=C22
Change Component Designator: OldDesignator=C? NewDesignator=C23
Change Component Designator: OldDesignator=C? NewDesignator=C24
Change Component Designator: OldDesignator=C? NewDesignator=C25
Change Component Designator: OldDesignator=C? NewDesignator=C26
Change Component Designator: OldDesignator=C? NewDesignator=C27
Change Component Designator: OldDesignator=C? NewDesignator=C28
Change Component Designator: OldDesignator=C? NewDesignator=C29
Change Component Designator: OldDesignator=C? NewDesignator=C30
Change Component Designator: OldDesignator=C? NewDesignator=C31
Change Component Designator: OldDesignator=C? NewDesignator=C32
Change Component Designator: OldDesignator=C? NewDesignator=C33
Change Component Designator: OldDesignator=C? NewDesignator=C34
Change Component Designator: OldDesignator=C? NewDesignator=C35
Change Component Designator: OldDesignator=C? NewDesignator=C36
Change Component Designator: OldDesignator=C? NewDesignator=C37
Change Component Designator: OldDesignator=C? NewDesignator=C38
Change Component Designator: OldDesignator=C? NewDesignator=C39
Change Component Designator: OldDesignator=C? NewDesignator=C40
